index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx,TimeStamp (sec)
288,0.0,22,2,522,155,3099,0.0,188,123.0,10,2025,0,1459270469.0
289,0.0,22,3,680,153,3109,0.0,184,124.0,11,2100,0,1459270472.0
290,0.0,22,3,672,153,3120,0.0,186,123.5,12,2171,0,1459270474.0
291,0.0,22,3,759,153,3132,0.0,182,124.5,11,2023,0,1459270477.0
292,0.0,22,3,673,152,3143,0.0,180,125.0,11,2100,0,1459270480.0
293,0.0,22,3,671,151,3154,0.0,185,124.0,10,1877,0,1459270483.0
294,0.0,22,3,679,150,3164,0.0,180,124.5,12,2250,0,1459270485.0
295,0.0,21,2,522,150,3176,0.0,182,124.5,11,2180,0,1459270488.0
296,0.0,22,3,672,151,3187,0.0,184,124.0,11,1946,0,1459270491.0
297,0.0,22,2,680,151,3198,0.0,184,124.0,11,2173,0,1459270494.0
298,0.0,22,3,746,151,3209,0.0,183,124.0,11,2033,0,1459270496.0
299,0.0,22,3,672,152,3220,0.0,188,123.0,11,2103,0,1459270499.0
300,0.0,22,3,668,152,3231,0.0,184,124.0,11,1877,0,1459270502.0
301,0.0,22,3,679,152,3242,0.0,186,123.5,11,2025,0,1459270504.0
302,0.0,22,3,751,153,3253,0.0,185,124.0,11,2021,0,1459270507.0
303,0.0,22,3,680,154,3264,0.0,182,124.5,11,2094,0,1459270510.0
304,0.0,22,3,679,154,3275,0.0,183,124.0,11,2025,0,1459270513.0
305,0.0,22,3,677,154,3286,0.0,180,124.5,11,2095,0,1459270515.0
306,0.0,21,3,679,154,3297,0.0,183,124.0,12,2251,0,1459270518.0
307,0.0,22,3,671,154,3309,0.0,178,125.0,11,2022,0,1459270521.0
308,0.0,22,2,680,154,3320,0.0,180,124.5,11,2103,0,1459270524.0
309,0.0,22,3,672,154,3331,0.0,183,124.0,11,2024,0,1459270527.0
310,0.0,22,2,677,154,3342,0.0,179,125.0,11,2096,0,1459270529.0
311,0.0,22,3,679,154,3353,0.0,180,125.0,11,2249,0,1459270532.0
312,0.0,21,3,523,154,3364,0.0,181,124.5,11,2024,0,1459270535.0
313,0.0,22,2,680,153,3375,0.0,180,124.5,11,2101,0,1459270538.0
314,0.0,22,3,673,153,3386,0.0,181,124.5,11,2172,0,1459270540.0
315,0.0,22,3,750,153,3397,0.0,178,125.5,11,2030,0,1459270543.0
316,0.0,22,3,672,153,3408,0.0,181,124.5,11,2102,0,1459270546.0
317,0.0,22,3,672,153,3419,0.0,181,124.5,11,2032,0,1459270549.0
318,0.0,22,3,669,152,3430,0.0,181,124.5,11,2102,0,1459270551.0
319,0.0,22,3,525,153,3441,0.0,182,124.5,11,2170,0,1459270554.0
320,0.0,22,3,681,153,3452,0.0,186,123.5,12,2103,0,1459270557.0
321,0.0,22,2,670,152,3464,0.0,182,124.5,10,2024,0,1459270560.0
322,0.0,21,4,750,152,3474,0.0,180,125.0,11,2032,0,1459270562.0
323,0.0,22,3,670,152,3485,0.0,183,124.0,12,2102,0,1459270565.0
324,0.0,22,3,672,152,3497,0.0,184,124.0,11,2203,0,1459270568.0
325,0.0,21,3,750,152,3508,0.0,175,126.0,11,1875,0,1459270571.0
326,0.0,22,2,672,151,3519,0.0,173,126.5,11,2249,0,1459270573.0
327,0.0,21,3,682,151,3530,0.0,175,126.0,11,2024,0,1459270576.0
328,0.0,21,3,669,151,3541,0.0,178,125.5,11,2103,0,1459270579.0
329,0.0,21,3,680,152,3552,0.0,177,125.5,12,2250,0,1459270582.0
