Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
3,98.3,0,00:25.1,02:07.2,3.93,00:00.0,0,26,11,8.88,0,---,200,-61,7,40,8,259,474,462,65,39.9899,-75.1992
3,107.1,0,00:27.6,02:07.5,3.92,00:00.0,0,25,12,8.79,0,---,201,-62,6,39,9,249,483,439,69,39.9898,-75.1993
3,117.1,0,00:29.9,02:06.2,3.96,00:00.0,0,26,13,10.07,0,---,203,-62,7,39,11,256,464,428,65,39.9898,-75.1994
3,125.9,0,00:32.1,02:07.5,3.92,00:00.0,0,26,14,8.8,0,---,193,-61,8,39,8,248,453,432,69,39.9897,-75.1994
3,135.3,0,00:34.5,02:08.8,3.88,00:00.0,0,26,15,9.41,0,---,201,-60,7,40,9,260,465,460,63,39.9896,-75.1995
3,144.1,0,00:36.8,02:07.2,3.93,00:00.0,0,26,16,8.77,0,---,191,-61,8,40,10,235,453,438,68,39.9896,-75.1996
3,153.8,0,00:39.1,02:05.6,3.98,00:00.0,0,26,17,9.64,0,---,204,-60,6,39,12,259,461,428,67,39.9895,-75.1996
3,163.2,0,00:41.5,02:04.3,4.02,00:00.0,0,26,18,9.46,0,---,191,-60,7,40,13,247,442,444,67,39.9894,-75.1997
3,172.1,0,00:43.7,02:05.3,3.99,00:00.0,0,26,19,8.9,0,---,194,-60,5,40,12,247,449,444,69,39.9894,-75.1998
3,181.5,0,00:46.1,02:05.9,3.97,00:00.0,0,26,20,9.39,0,---,214,-61,5,40,9,268,495,455,64,39.9893,-75.1998
3,190.3,0,00:48.5,02:06.2,3.96,00:00.0,0,26,21,8.76,0,---,196,-60,7,39,9,249,453,442,66,39.9892,-75.1999
3,199.6,0,00:50.7,02:06.5,3.95,00:00.0,0,26,22,9.34,0,---,190,-60,6,39,14,237,433,431,65,39.9892,-75.2
3,208.5,0,00:53.0,02:06.2,3.96,00:00.0,0,26,23,8.94,0,---,213,-61,7,39,9,270,479,432,66,39.9891,-75.2
3,217.1,0,00:55.1,02:07.2,3.93,00:00.0,0,26,24,8.54,0,---,224,-61,4,40,11,283,519,468,71,39.9891,-75.2001
3,225.9,0,00:57.5,02:07.8,3.91,00:00.0,0,26,25,8.79,0,---,213,-61,7,40,10,268,492,445,67,39.989,-75.2001
3,235.2,0,00:59.7,02:06.9,3.94,00:00.0,0,26,26,9.36,0,---,213,-61,7,40,10,268,492,445,67,39.9889,-75.2002
3,---,---,---,---,---,---,---,---,26,---,---,---,208,-60,6,40,8,258,474,475,65,---,---
4,8.7,0,00:02.1,02:07.8,3.91,00:00.0,0,26,1,8.72,0,---,185,-60,9,40,10,229,428,429,67,39.9889,-75.2003
4,17.4,0,00:04.3,02:09.1,3.87,00:00.0,0,26,2,8.69,0,---,203,-60,6,39,9,257,457,451,66,39.9888,-75.2003
4,25.6,0,00:06.5,02:07.8,3.91,00:00.0,0,26,3,8.2,0,---,208,-60,4,40,10,255,481,469,67,39.9887,-75.2004
4,35.6,0,00:08.9,02:05.6,3.98,00:00.0,0,26,4,10,0,---,217,-61,6,40,8,262,496,490,64,39.9887,-75.2005
4,44.5,0,00:11.1,02:05.9,3.97,00:00.0,0,26,5,8.86,0,---,225,-61,5,40,9,269,521,496,64,39.9886,-75.2005
4,53.9,0,00:13.5,02:07.2,3.93,00:00.0,0,27,6,9.46,0,---,200,-59,8,40,8,242,445,486,63,39.9885,-75.2006
4,62,0,00:15.6,02:05.9,3.97,00:00.0,0,26,7,8.1,0,---,224,-61,7,41,7,260,511,523,66,39.9885,-75.2006
4,71.5,0,00:17.9,02:04.0,4.03,00:00.0,0,27,8,9.5,0,---,225,-60,7,40,8,270,492,485,63,39.9884,-75.2007
4,80.5,0,00:20.1,02:04.0,4.03,00:00.0,0,27,9,8.97,0,---,207,-61,7,40,9,247,460,461,68,39.9883,-75.2008
4,89.7,0,00:22.3,02:03.7,4.04,00:00.0,0,28,10,9.19,0,---,198,-59,6,40,12,238,434,464,67,39.9883,-75.2008
4,98,0,00:24.5,02:01.9,4.1,00:00.0,0,27,11,8.27,0,---,228,-60,4,41,8,270,514,483,65,39.9882,-75.2009
4,108.2,0,00:26.9,02:01.0,4.13,00:00.0,0,27,12,10.2,0,---,217,-60,5,41,10,250,490,459,63,39.9881,-75.201
4,117.2,0,00:29.1,02:02.8,4.07,00:00.0,0,27,13,9.02,0,---,211,-60,6,41,10,235,464,470,67,39.9881,-75.201
4,125.6,0,00:31.1,02:04.0,4.03,00:00.0,0,27,14,8.46,0,---,190,-59,7,40,13,215,423,432,65,39.988,-75.2011
4,134.7,0,00:33.5,02:02.2,4.09,00:00.0,0,27,15,9.01,0,---,249,-62,4,40,11,285,545,474,66,39.988,-75.2012
4,144.3,0,00:35.7,02:00.7,4.14,00:00.0,0,28,16,9.69,0,---,231,-62,6,40,11,279,508,463,66,39.9879,-75.2012
4,153.3,0,00:37.9,02:01.9,4.1,00:00.0,0,27,17,8.96,0,---,210,-61,7,40,9,254,461,457,67,39.9878,-75.2013
4,162.3,0,00:40.1,02:03.1,4.06,00:00.0,0,27,18,9.05,0,---,214,-60,5,40,10,251,470,480,65,39.9878,-75.2014
4,170.8,0,00:42.1,02:02.2,4.09,00:00.0,0,28,19,8.46,0,---,220,-61,5,40,10,250,489,467,66,39.9877,-75.2014
4,179.8,0,00:44.3,02:01.9,4.1,00:00.0,0,27,20,9.04,0,---,215,-60,6,39,7,250,458,460,64,39.9876,-75.2015
4,188.9,0,00:46.5,02:01.6,4.11,00:00.0,0,28,21,9.08,0,---,228,-60,4,41,11,267,501,483,62,39.9876,-75.2016
4,197.1,0,00:48.6,02:01.3,4.12,00:00.0,0,28,22,8.2,0,---,211,-59,7,39,10,248,457,501,64,39.9875,-75.2016
4,206.7,0,00:50.9,02:01.3,4.12,00:00.0,0,28,23,9.52,0,---,216,-60,7,40,9,256,468,498,68,39.9874,-75.2017
4,215.7,0,00:53.1,02:02.5,4.08,00:00.0,0,27,24,9.05,0,---,201,-58,7,39,9,240,430,490,64,39.9874,-75.2018
