index,index, AverageDriveForce (lbs), Cadence (stokes/min), DriveLength (meters), DriveTime (ms), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx, latitude, longitude,TimeStamp (sec), ElapsedTime (sec), DragFactor, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
35,35,0.0,18.0,0.0,0.0,109.0,90.10921253421294,0.0,0.0,164.28376589897144,9.996240385349807,0.0,0.0,50.45806,14.346317,1458889148.0,38.0,0.0,3.043514356174924,0.0,0.0,1.0,4.0,11,0.0,109.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,90.10921253421294,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
36,36,0.0,18.0,0.0,0.0,110.0,93.12777410216138,0.0,0.0,166.72935047753396,9.971458599529448,0.0,0.0,50.458039,14.34629,1458889149.0,39.0,0.0,2.9988721156049416,0.0,0.0,1.0,4.0,11,0.0,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,93.12777410216138,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
37,37,0.0,18.0,0.0,0.0,110.0,96.36833121530182,0.0,0.0,167.1437182465278,10.62621589137279,0.0,0.0,50.458017,14.34626,1458889150.0,40.0,0.0,2.991437579858834,0.0,0.0,1.0,4.0,11,0.0,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,96.36833121530182,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
38,38,0.0,18.0,0.0,0.0,110.0,99.348309028986,0.0,0.0,156.84479627595366,10.569400608252913,0.0,0.0,50.457997,14.346232,1458889151.0,41.0,0.0,3.1878647674118374,0.0,0.0,1.0,4.0,12,0.0,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,99.348309028986,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
39,39,0.0,18.0,0.0,0.0,110.0,102.5057160444486,0.0,0.0,157.68790761562036,10.355159092072938,0.0,0.0,50.457976,14.346202,1458889152.0,42.0,0.0,3.1708201824758735,0.0,0.0,1.0,4.0,12,0.0,110.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,102.5057160444486,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
40,40,0.0,18.0,0.0,0.0,112.0,106.04853637127214,0.0,0.0,160.95036800955864,10.638992585936018,0.0,0.0,50.457951,14.346171,1458889153.0,43.0,0.0,3.106547727621882,0.0,0.0,1.0,4.0,12,0.0,112.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,106.04853637127214,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
41,41,0.0,18.0,0.0,0.0,112.0,108.98187501454076,0.0,0.0,156.65643651917568,10.584743770881982,0.0,0.0,50.457931,14.346144,1458889154.0,44.0,0.0,3.1916977757808054,0.0,0.0,1.0,4.0,12,0.0,112.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,108.98187501454076,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
42,42,0.0,18.0,0.0,0.0,112.0,111.90106985341124,0.0,0.0,157.45933040453662,9.982334730841984,0.0,0.0,50.457913,14.346114,1458889155.0,45.0,0.0,3.175423131264594,0.0,0.0,1.0,4.0,13,0.0,112.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,111.90106985341124,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
43,43,0.0,18.0,0.0,0.0,114.0,115.30679790789004,0.0,0.0,166.96160884259268,10.331846073854855,0.0,0.0,50.457892,14.346079,1458889156.0,46.0,0.0,2.9947004192525943,0.0,0.0,1.0,4.0,13,0.0,114.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,115.30679790789004,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
44,44,0.0,18.0,0.0,0.0,114.0,118.38283170077158,0.0,0.0,161.31354017015727,10.442884070417744,0.0,0.0,50.457872,14.346049,1458889157.0,47.0,0.0,3.099553822156456,0.0,0.0,1.0,4.0,13,0.0,114.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,118.38283170077158,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
45,45,0.0,18.0,0.0,0.0,114.0,121.02203846753513,0.0,0.0,157.8705733743331,9.809052120008204,0.0,0.0,50.457855,14.346023,1458889158.0,48.0,0.0,3.167151352611043,0.0,0.0,1.0,4.0,14,0.0,114.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,121.02203846753513,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
46,46,0.0,19.0,0.0,0.0,117.0,124.47964412532303,0.0,0.0,166.42926505752965,9.919383142253654,0.0,0.0,50.457834,14.345987,1458889159.0,49.0,0.0,3.0042793244755654,0.0,0.0,1.0,4.0,14,0.0,117.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,124.47964412532303,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
47,47,0.0,19.0,0.0,0.0,117.0,127.73682661646644,0.0,0.0,162.6865068534319,10.395949175352696,0.0,0.0,50.457815,14.345952,1458889160.0,50.0,0.0,3.0733956347741964,0.0,0.0,1.0,4.0,14,0.0,117.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,127.73682661646644,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
48,48,0.0,19.0,0.0,0.0,117.0,130.3281945302679,0.0,0.0,155.45497195391889,9.766334447498988,0.0,0.0,50.4578,14.345924,1458889161.0,51.0,0.0,3.216365444703909,0.0,0.0,1.0,4.0,15,0.0,117.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,130.3281945302679,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
49,49,0.0,18.0,0.0,0.0,119.0,133.74980987464255,0.0,0.0,165.1538013446034,9.676739889022016,0.0,0.0,50.457781,14.345886,1458889162.0,52.0,0.0,3.0274810263477963,0.0,0.0,1.0,4.0,15,0.0,119.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,133.74980987464255,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
50,50,0.0,18.0,0.0,0.0,119.0,137.10386569105464,0.0,0.0,168.5592199602211,10.31417553400336,0.0,0.0,50.457763,14.345848,1458889163.0,53.0,0.0,2.966316527318985,0.0,0.0,1.0,4.0,15,0.0,119.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,137.10386569105464,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
51,51,0.0,18.0,0.0,0.0,119.0,139.617049257062,0.0,0.0,159.7306474193248,10.264743415337774,0.0,0.0,50.457752,14.345817,1458889164.0,54.0,0.0,3.130269663826005,0.0,0.0,1.0,4.0,15,0.0,119.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,139.617049257062,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
52,52,0.0,18.0,0.0,0.0,120.0,142.56840925306136,0.0,0.0,162.36807869705754,10.02054170575851,0.0,0.0,50.457735,14.345785,1458889165.0,55.0,0.0,3.079423024601332,0.0,0.0,1.0,4.0,16,0.0,120.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,142.56840925306136,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
53,53,0.0,18.0,0.0,0.0,120.0,145.9795428493979,0.0,0.0,166.32500673181,10.663477696416477,0.0,0.0,50.457717,14.345746,1458889166.0,56.0,0.0,3.0061625117275526,0.0,0.0,1.0,4.0,16,0.0,120.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,145.9795428493979,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
54,54,0.0,18.0,0.0,0.0,120.0,149.14692499764922,0.0,0.0,156.2967274013017,10.811931300426629,0.0,0.0,50.457701,14.345709,1458889167.0,57.0,0.0,3.199043308924943,0.0,0.0,1.0,4.0,16,0.0,120.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,149.14692499764922,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
55,55,0.0,18.0,0.0,0.0,120.0,152.13467824969243,0.0,0.0,154.15068967381447,10.44943034564338,0.0,0.0,50.457686,14.345674,1458889168.0,58.0,0.0,3.243579390127989,0.0,0.0,1.0,4.0,17,0.0,120.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,152.13467824969243,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
56,56,0.0,18.0,0.0,0.0,124.0,155.61226580168673,0.0,0.0,159.498327807079,10.569218655563557,0.0,0.0,50.457667,14.345635,1458889169.0,59.0,0.0,3.134829103693014,0.0,0.0,1.0,4.0,17,0.0,124.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,155.61226580168673,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
57,57,0.0,18.0,0.0,0.0,124.0,158.78630620370132,0.0,0.0,157.6906222665141,10.953535242863229,0.0,0.0,50.45765,14.345599,1458889170.0,60.0,0.0,3.1707655966690664,0.0,0.0,1.0,4.0,17,0.0,124.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,158.78630620370132,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
