Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,9212.5,0,43:05.0,02:20.4,3.56,00:00.0,0,23,921,10,0,107,---,---,---,---,---,---,---,---,---,41.2211734,-74.2888944
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,966.8,0,05:42.2,02:11.5,3.8,00:00.0,0,20,96,11.3,0,101,---,---,---,---,---,---,---,---,---,41.2133342,-74.3010666
1,977.9,0,05:45.2,02:12.2,3.78,00:00.0,0,19.5,97,11.2,0,102,---,---,---,---,---,---,---,---,---,41.213272,-74.3011713
1,990,0,05:48.4,02:11.9,3.79,00:00.0,0,19.5,98,12,0,103,---,---,---,---,---,---,---,---,---,41.2132036,-74.3012822
1,1001.1,0,05:51.4,02:12.2,3.78,00:00.0,0,19.5,99,11.1,0,105,---,---,---,---,---,---,---,---,---,41.2131411,-74.301386
1,1012.4,0,05:54.4,02:12.2,3.78,00:00.0,0,20,100,11.3,0,105,---,---,---,---,---,---,---,---,---,41.2130775,-74.3014916
1,1023.9,0,05:57.4,02:11.2,3.81,00:00.0,0,19.5,101,11.5,0,105,---,---,---,---,---,---,---,---,---,41.2130124,-74.3015979
1,1035.5,0,06:00.6,02:12.6,3.77,00:00.0,0,19.5,102,11.6,0,105,---,---,---,---,---,---,---,---,---,41.2129473,-74.3017066
1,1046.7,0,06:03.6,02:15.1,3.7,00:00.0,0,19.5,103,11.2,0,105,---,---,---,---,---,---,---,---,---,41.212885,-74.3018111
1,1057.9,0,06:06.6,02:15.1,3.7,00:00.0,0,20,104,11.2,0,105,---,---,---,---,---,---,---,---,---,41.2128232,-74.3019174
1,1069.8,0,06:09.8,02:15.1,3.7,00:00.0,0,19.5,105,11.8,0,106,---,---,---,---,---,---,---,---,---,41.2127598,-74.3020307
1,1081.1,0,06:12.8,02:15.1,3.7,00:00.0,0,19.5,106,11.3,0,106,---,---,---,---,---,---,---,---,---,41.2126964,-74.3021363
1,1092.5,0,06:15.8,02:14.4,3.72,00:00.0,0,20,107,11.4,0,106,---,---,---,---,---,---,---,---,---,41.2126332,-74.3022437
1,1103.9,0,06:18.8,02:12.2,3.78,00:00.0,0,19.5,108,11.4,0,106,---,---,---,---,---,---,---,---,---,41.2125713,-74.3023519
1,1115.5,0,06:21.8,02:10.8,3.82,00:00.0,0,20,109,11.6,0,106,---,---,---,---,---,---,---,---,---,41.2125102,-74.3024644
1,1127,0,06:24.8,02:10.5,3.83,00:00.0,0,20,110,11.5,0,106,---,---,---,---,---,---,---,---,---,41.2124477,-74.3025738
1,1138.7,0,06:27.8,02:09.5,3.86,00:00.0,0,19.5,111,11.7,0,105,---,---,---,---,---,---,---,---,---,41.2123836,-74.3026847
1,1150.1,0,06:30.8,02:09.5,3.86,00:00.0,0,20,112,11.4,0,106,---,---,---,---,---,---,---,---,---,41.212322,-74.3027938
1,1162.2,0,06:34.0,02:11.2,3.81,00:00.0,0,19.5,113,12.1,0,105,---,---,---,---,---,---,---,---,---,41.2122583,-74.3029105
1,1173.7,0,06:37.0,02:11.2,3.81,00:00.0,0,20,114,11.4,0,106,---,---,---,---,---,---,---,---,---,41.2121974,-74.3030205
1,1185.1,0,06:40.0,02:11.2,3.81,00:00.0,0,20,115,11.4,0,106,---,---,---,---,---,---,---,---,---,41.2121369,-74.3031306
1,1196.5,0,06:43.0,02:11.9,3.79,00:00.0,0,20,116,11.5,0,107,---,---,---,---,---,---,---,---,---,41.212076,-74.3032408
1,1208.1,0,06:46.0,02:11.5,3.8,00:00.0,0,20,117,11.6,0,107,---,---,---,---,---,---,---,---,---,41.2120125,-74.3033504
1,1219.6,0,06:49.0,02:10.8,3.82,00:00.0,0,20,118,11.5,0,107,---,---,---,---,---,---,---,---,---,41.2119522,-74.303462
1,1231,0,06:52.0,02:11.2,3.81,00:00.0,0,20,119,11.4,0,107,---,---,---,---,---,---,---,---,---,41.2118915,-74.3035711
1,1242.2,0,06:55.0,02:12.2,3.78,00:00.0,0,19.5,120,11.2,0,107,---,---,---,---,---,---,---,---,---,41.2118314,-74.3036786
1,1253.6,0,06:58.0,02:11.9,3.79,00:00.0,0,20,121,11.4,0,108,---,---,---,---,---,---,---,---,---,41.2117699,-74.3037872
1,1265,0,07:01.0,02:11.5,3.8,00:00.0,0,20.5,122,11.4,0,108,---,---,---,---,---,---,---,---,---,41.2117096,-74.303897
1,1275.5,0,07:03.8,02:13.3,3.75,00:00.0,0,20.5,123,10.6,0,108,---,---,---,---,---,---,---,---,---,41.2116518,-74.3039973
1,1286.7,0,07:06.8,02:15.1,3.7,00:00.0,0,19.5,124,11.2,0,109,---,---,---,---,---,---,---,---,---,41.2115925,-74.3041048
1,1297.8,0,07:09.8,02:15.1,3.7,00:00.0,0,20.5,125,11.1,0,108,---,---,---,---,---,---,---,---,---,41.2115339,-74.3042128
