Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2373.1,0,12:29.0,02:38.2,3.16,00:00.0,0,22,255,9.3,0,---,---,---,---,---,---,---,---,---,---,51.451923,-2.5521974
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,583.1,0,02:51.1,02:37.7,3.17,00:00.0,0,19,61,9.6,0,---,---,---,---,---,---,---,---,---,---,51.4550915,-2.545812
1,593.3,0,02:54.3,02:37.7,3.17,00:00.0,0,19,62,10.1,0,---,---,---,---,---,---,---,---,---,---,51.4551567,-2.5457097
1,603.3,0,02:57.3,02:34.7,3.23,00:00.0,0,19.5,63,10,0,---,---,---,---,---,---,---,---,---,---,51.4552203,-2.5456075
1,613.5,0,03:00.3,02:30.1,3.33,00:00.0,0,20,64,10.2,0,---,---,---,---,---,---,---,---,---,---,51.4552828,-2.5454994
1,623.4,0,03:03.3,02:29.7,3.34,00:00.0,0,20.5,65,9.9,0,---,---,---,---,---,---,---,---,---,---,51.4553383,-2.5453885
1,633.5,0,03:06.3,02:31.0,3.31,00:00.0,0,19,66,10.1,0,---,---,---,---,---,---,---,---,---,---,51.4553918,-2.5452707
1,643.5,0,03:09.3,02:30.6,3.32,00:00.0,0,20,67,10,0,---,---,---,---,---,---,---,---,---,---,51.4554376,-2.5451475
1,653.3,0,03:12.3,02:31.0,3.31,00:00.0,0,20,68,9.9,0,---,---,---,---,---,---,---,---,---,---,51.4554762,-2.5450192
1,663.1,0,03:15.3,02:31.9,3.29,00:00.0,0,20.5,69,9.8,0,---,---,---,---,---,---,---,---,---,---,51.4555131,-2.5448909
1,672.5,0,03:18.1,02:33.8,3.25,00:00.0,0,20.5,70,9.4,0,---,---,---,---,---,---,---,---,---,---,51.4555428,-2.5447645
1,682.3,0,03:21.1,02:35.2,3.22,00:00.0,0,20.5,71,9.8,0,---,---,---,---,---,---,---,---,---,---,51.4555686,-2.5446293
1,692.1,0,03:24.1,02:35.2,3.22,00:00.0,0,20,72,9.8,0,---,---,---,---,---,---,---,---,---,---,51.4555876,-2.5444918
1,702.1,0,03:27.1,02:35.2,3.22,00:00.0,0,20.5,73,10,0,---,---,---,---,---,---,---,---,---,---,51.4555976,-2.5443487
1,711.1,0,03:29.9,02:35.2,3.22,00:00.0,0,20,74,9,0,---,---,---,---,---,---,---,---,---,---,51.4556033,-2.5442192
1,721.6,0,03:33.1,02:34.3,3.24,00:00.0,0,20,75,10.5,0,---,---,---,---,---,---,---,---,---,---,51.4556047,-2.5440676
1,731.7,0,03:36.1,02:32.9,3.27,00:00.0,0,19.5,76,10.1,0,---,---,---,---,---,---,---,---,---,---,51.4556022,-2.5439222
1,741.9,0,03:39.1,02:31.5,3.3,00:00.0,0,19.5,77,10.1,0,---,---,---,---,---,---,---,---,---,---,51.4555985,-2.5437763
1,751.5,0,03:42.1,02:31.9,3.29,00:00.0,0,20,78,9.7,0,---,---,---,---,---,---,---,---,---,---,51.4555966,-2.5436367
1,762,0,03:45.3,02:32.9,3.27,00:00.0,0,19.5,79,10.4,0,---,---,---,---,---,---,---,---,---,---,51.4555979,-2.5434863
1,771.8,0,03:48.3,02:32.4,3.28,00:00.0,0,19,80,9.9,0,---,---,---,---,---,---,---,---,---,---,51.4555924,-2.5433442
1,782.1,0,03:51.5,02:32.9,3.27,00:00.0,0,19,81,10.3,0,---,---,---,---,---,---,---,---,---,---,51.4555887,-2.5431962
1,792.5,0,03:54.5,02:30.6,3.32,00:00.0,0,19.5,82,10.4,0,---,---,---,---,---,---,---,---,---,---,51.4555778,-2.5430474
1,802.6,0,03:57.5,02:28.8,3.36,00:00.0,0,20.5,83,10.1,0,---,---,---,---,---,---,---,---,---,---,51.4555678,-2.5429023
1,812.5,0,04:00.6,02:30.6,3.32,00:00.0,0,20,84,9.9,0,---,---,---,---,---,---,---,---,---,---,51.4555524,-2.5427615
1,822.3,0,04:03.5,02:33.3,3.26,00:00.0,0,20,85,9.7,0,---,---,---,---,---,---,---,---,---,---,51.4555336,-2.5426247
1,831.2,0,04:06.1,02:31.5,3.3,00:00.0,0,22.5,86,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4555208,-2.5424975
1,840,0,04:08.5,02:24.0,3.47,00:00.0,0,24,87,8.8,0,---,---,---,---,---,---,---,---,---,---,51.4555075,-2.5423731
1,848.5,0,04:11.0,02:16.2,3.67,00:00.0,0,26.5,88,8.5,0,---,---,---,---,---,---,---,---,---,---,51.455493,-2.5422525
1,857.6,0,04:13.1,02:10.2,3.84,00:00.0,0,26.5,89,9.1,0,---,---,---,---,---,---,---,---,---,---,51.4554756,-2.5421236
1,866.1,0,04:15.3,02:07.8,3.91,00:00.0,0,27.5,90,8.5,0,---,---,---,---,---,---,---,---,---,---,51.4554608,-2.542003
1,874.2,0,04:17.4,02:07.5,3.92,00:00.0,0,28.5,91,8.1,0,---,---,---,---,---,---,---,---,---,---,51.4554455,-2.5418894
1,883,0,04:19.5,02:05.6,3.98,00:00.0,0,27.5,92,8.8,0,---,---,---,---,---,---,---,---,---,---,51.4554323,-2.5417645
1,891.8,0,04:21.7,02:06.5,3.95,00:00.0,0,28.5,93,8.8,0,---,---,---,---,---,---,---,---,---,---,51.4554178,-2.5416391
1,900.7,0,04:23.9,02:06.9,3.94,00:00.0,0,28.5,94,8.8,0,---,---,---,---,---,---,---,---,---,---,51.4554021,-2.5415146
1,908.4,0,04:26.0,02:03.7,4.04,00:00.0,0,27.5,95,7.8,0,---,---,---,---,---,---,---,---,---,---,51.4553885,-2.5414045
1,917.8,0,04:28.1,02:01.3,4.12,00:00.0,0,27.5,96,9.4,0,---,---,---,---,---,---,---,---,---,---,51.4553737,-2.5412717
1,926.5,0,04:30.3,02:02.5,4.08,00:00.0,0,27.5,97,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4553592,-2.5411478
1,935.4,0,04:32.5,02:04.3,4.02,00:00.0,0,28.5,98,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4553419,-2.5410234
1,944.3,0,04:35.0,02:03.7,4.04,00:00.0,0,27.5,99,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4553243,-2.5408984
1,952.8,0,04:36.9,02:06.2,3.96,00:00.0,0,28.5,100,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4553065,-2.5407784
1,960.8,0,04:38.9,02:09.8,3.85,00:00.0,0,27.5,101,8,0,---,---,---,---,---,---,---,---,---,---,51.4552872,-2.5406673
1,968.5,0,04:41.0,02:08.2,3.9,00:00.0,0,27.5,102,7.7,0,---,---,---,---,---,---,---,---,---,---,51.4552674,-2.540561
1,978.5,0,04:43.3,02:03.1,4.06,00:00.0,0,28.5,103,10,0,---,---,---,---,---,---,---,---,---,---,51.4552442,-2.5404224
1,987.5,0,04:45.5,02:03.4,4.05,00:00.0,0,27.5,104,9,0,---,---,---,---,---,---,---,---,---,---,51.4552198,-2.5402982
1,995.5,0,04:47.5,02:06.9,3.94,00:00.0,0,27.5,105,8,0,---,---,---,---,---,---,---,---,---,---,51.4551945,-2.5401903
1,1004,0,04:50.0,02:08.8,3.88,00:00.0,0,28.5,106,8.5,0,---,---,---,---,---,---,---,---,---,---,51.4551659,-2.5400769
1,1012.7,0,04:51.9,02:08.5,3.89,00:00.0,0,26.5,107,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4551366,-2.5399604
1,1021.6,0,04:54.1,02:08.2,3.9,00:00.0,0,27.5,108,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4551046,-2.5398422
1,1031.6,0,04:56.7,02:07.8,3.91,00:00.0,0,24.5,109,9.9,0,---,---,---,---,---,---,---,---,---,---,51.4550715,-2.5397096
1,1040.1,0,04:59.3,02:13.3,3.75,00:00.0,0,22.5,110,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4550386,-2.539598
1,1048.8,0,05:02.0,02:25.7,3.43,00:00.0,0,23,111,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4550043,-2.5394861
1,1058,0,05:05.0,02:33.8,3.25,00:00.0,0,21,112,9.3,0,---,---,---,---,---,---,---,---,---,---,51.454962,-2.5393712
1,1066.6,0,05:07.5,02:40.2,3.12,00:00.0,0,22,113,8.6,0,---,---,---,---,---,---,---,---,---,---,51.45492,-2.5392672
1,1074.7,0,05:10.3,02:48.3,2.97,00:00.0,0,21,114,8.1,0,---,---,---,---,---,---,---,---,---,---,51.454877,-2.5391735
1,1084,0,05:13.3,02:51.8,2.91,00:00.0,0,20,115,9.3,0,---,---,---,---,---,---,---,---,---,---,51.4548211,-2.5390744
1,1093.3,0,05:16.3,02:48.9,2.96,00:00.0,0,20.5,116,9.3,0,---,---,---,---,---,---,---,---,---,---,51.454762,-2.5389793
1,1102.9,0,05:19.3,02:45.5,3.02,00:00.0,0,19.5,117,9.7,0,---,---,---,---,---,---,---,---,---,---,51.4546994,-2.538883
1,1113,0,05:22.3,02:41.8,3.09,00:00.0,0,19.5,118,10.1,0,---,---,---,---,---,---,---,---,---,---,51.4546315,-2.5387862
1,1123.4,0,05:25.5,02:39.7,3.13,00:00.0,0,19.5,119,10.4,0,---,---,---,---,---,---,---,---,---,---,51.4545603,-2.5386895
1,1133,0,05:28.5,02:40.7,3.11,00:00.0,0,19.5,120,9.6,0,---,---,---,---,---,---,---,---,---,---,51.4544947,-2.5386003
1,1143,0,05:31.6,02:40.7,3.11,00:00.0,0,19.5,121,10,0,---,---,---,---,---,---,---,---,---,---,51.4544232,-2.5385134
1,1152.7,0,05:34.5,02:41.8,3.09,00:00.0,0,20.5,122,9.7,0,---,---,---,---,---,---,---,---,---,---,51.4543515,-2.5384344
1,1161.2,0,05:37.3,02:46.6,3,00:00.0,0,21,123,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4542857,-2.5383703
1,1170.8,0,05:40.3,02:48.9,2.96,00:00.0,0,20.5,124,9.5,0,---,---,---,---,---,---,---,---,---,---,51.4542078,-2.5383128
1,1179.4,0,05:43.1,02:47.2,2.99,00:00.0,0,20,125,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4541348,-2.5382703
1,1187.9,0,05:45.9,02:46.1,3.01,00:00.0,0,22,126,8.5,0,---,---,---,---,---,---,---,---,---,---,51.4540613,-2.5382366
1,1196.8,0,05:48.9,02:46.1,3.01,00:00.0,0,20.5,127,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4539843,-2.5382037
1,1205.4,0,05:51.7,02:48.9,2.96,00:00.0,0,21,128,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4539093,-2.5381731
1,1214,0,05:54.7,02:51.8,2.91,00:00.0,0,20,129,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4538351,-2.5381402
1,1222.3,0,05:57.6,02:54.2,2.87,00:00.0,0,20.5,130,8.4,0,---,---,---,---,---,---,---,---,---,---,51.4537645,-2.5380993
1,1231,0,06:00.5,02:53.6,2.88,00:00.0,0,21,131,8.6,0,---,---,---,---,---,---,---,---,---,---,51.4536925,-2.5380532
1,1239,0,06:03.3,02:51.2,2.92,00:00.0,0,20,132,8.1,0,---,---,---,---,---,---,---,---,---,---,51.4536283,-2.5379992
1,1246.5,0,06:06.1,02:53.6,2.88,00:00.0,0,22.5,133,7.5,0,---,---,---,---,---,---,---,---,---,---,51.4535696,-2.5379457
1,1254.8,0,06:08.7,02:57.3,2.82,00:00.0,0,22.5,134,8.3,0,---,---,---,---,---,---,---,---,---,---,51.4534997,-2.5379045
