index,index, AverageDriveForce (lbs), Cadence (stokes/min), DragFactor, DriveLength (meters), DriveTime (ms), ElapsedTime (sec), HRCur (bpm), Horizontal (meters), PeakDriveForce (lbs), Power (watts), Stroke500mPace (sec/500m), StrokeDistance (meters), StrokeRecoveryTime (ms), lapIdx, latitude, longitude,TimeStamp (sec), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
32,32,0.0,18.0,0.0,0.0,0.0,33.0,142.0,0.0,0.0,0.0,10000.0,0.000872331358415,0.0,0.0,49.240004,16.511673,1459588541.0,0.05,0.0,0.0,1.0,4.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
33,33,0.0,18.0,0.0,0.0,0.0,34.0,142.0,0.0,0.0,0.0,10000.0,0.0010661827714,0.0,0.0,49.240004,16.511673,1459588542.0,0.05,0.0,0.0,1.0,4.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
34,34,0.0,18.0,0.0,0.0,0.0,35.0,142.0,0.0,0.0,0.0,10000.0,0.00130311227615,0.0,0.0,49.240004,16.511673,1459588543.0,0.05,0.0,0.0,1.0,4.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
35,35,0.0,18.0,0.0,0.0,0.0,36.0,142.0,0.0,0.0,0.0,10000.0,0.00159269278196,0.0,0.0,49.240004,16.511673,1459588544.0,0.05,0.0,0.0,1.0,4.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
36,36,0.0,18.0,0.0,0.0,0.0,37.0,142.0,0.0,0.0,0.0,10000.0,0.00194662451129,0.0,0.0,49.240004,16.511673,1459588545.0,0.05,0.0,0.0,1.0,4.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
37,37,0.0,18.0,0.0,0.0,0.0,38.0,142.0,0.0,0.0,0.0,10000.0,0.00237920773602,0.0,0.0,49.240004,16.511673,1459588546.0,0.05,0.0,0.0,1.0,4.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
38,38,0.0,18.0,0.0,0.0,0.0,39.0,142.0,0.0,0.0,0.0,10000.0,0.00290792056624,0.0,0.0,49.240004,16.511673,1459588547.0,0.05,0.0,0.0,1.0,4.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
39,39,0.0,18.0,0.0,0.0,0.0,40.0,142.0,0.0,0.0,0.0,10000.0,0.00355412513652,0.0,0.0,49.240004,16.511673,1459588548.0,0.05,0.0,0.0,1.0,4.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
40,40,0.0,18.0,0.0,0.0,0.0,41.0,142.0,0.0,0.0,0.0,10000.0,0.00434393072242,0.0,0.0,49.240004,16.511673,1459588549.0,0.05,0.0,0.0,1.0,4.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
41,41,0.0,18.0,0.0,0.0,0.0,42.0,142.0,0.0,0.0,0.0,10000.0,0.00530924866073,0.0,0.0,49.240004,16.511673,1459588550.0,0.05,0.0,0.0,1.0,4.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
