index,TimeStamp (sec),TOTAL Time Since Start BoatCoach, Horizontal (meters),Elapsed Time, lapIdx, Cadence (stokes/min),Cumulative Stroke Count,Piece Stroke Count,Cumulative Distance(m),Piece Distance(km),Average Speed(/500m), Stroke500mPace (sec/500m), HRCur (bpm),Calories,Calories/hr, latitude, longitude, ElapsedTime (sec), Power (watts), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
30,1506367375.0000002,0:00:31,20.0,0:00:31,0,23.2,2,2,21,0.02,0:06:59,0.0,0.0,0,0,49.239015,16.513091,30.800000190734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
31,1506367375.0000002,0:00:31,20.0,0:00:31,0,23.2,2,2,21,0.02,0:06:59,0.0,0.0,0,0,49.239021,16.513059,30.800000190734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
32,1506367376.0000002,0:00:32,20.0,0:00:32,0,23.2,3,3,21,0.02,0:06:59,0.0,0.0,0,0,49.239021,16.513059,31.800000190734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
33,1506367377.2,0:00:33,20.0,0:00:33,0,23.2,3,3,21,0.02,0:06:59,0.0,0.0,0,0,49.239021,16.513059,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
34,1506367378.2,0:00:34,20.0,0:00:34,0,23.2,3,3,21,0.02,0:06:59,0.0,0.0,0,0,49.239021,16.513059,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
35,1506367379.2,0:00:35,20.0,0:00:35,0,23.2,3,3,21,0.02,0:06:59,0.0,0.0,0,0,49.239024,16.513028,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
36,1506367380.4000003,0:00:37,20.0,0:00:37,0,23.2,3,3,21,0.02,0:06:59,0.0,0.0,0,0,49.239024,16.513028,36.200000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
37,1506367381.4000003,0:00:38,20.0,0:00:38,0,23.2,3,3,21,0.02,0:06:59,0.0,0.0,0,0,49.239024,16.513028,37.200000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
38,1506367382.6000001,0:00:39,20.0,0:00:39,0,23.2,3,3,21,0.02,0:06:59,0.0,0.0,0,0,49.239024,16.513028,38.40000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,20.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
39,1506367383.6000001,0:00:40,32.0,0:00:40,0,23.2,3,3,34,0.03,0:09:22,0.0,0.0,1,300,49.239037,16.512998,39.40000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
40,1506367384.6000001,0:00:41,32.0,0:00:41,0,23.2,3,3,34,0.03,0:09:22,0.0,0.0,1,300,49.239037,16.512998,40.40000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
41,1506367385.8000004,0:00:42,32.0,0:00:42,0,23.2,3,3,34,0.03,0:09:22,0.0,0.0,1,300,49.239037,16.512998,41.60000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
42,1506367386.8000004,0:00:43,32.0,0:00:43,0,23.2,3,3,34,0.03,0:09:22,0.0,0.0,1,300,49.239037,16.512998,42.60000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
43,1506367388.0000002,0:00:44,32.0,0:00:44,0,10.6,4,4,34,0.03,0:09:22,0.0,0.0,1,300,49.239037,16.512998,43.80000019073486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
44,1506367388.0000002,0:00:44,32.0,0:00:44,0,10.6,4,4,34,0.03,0:09:22,0.0,0.0,1,300,49.239045,16.51297,43.80000019073486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
45,1506367389.2,0:00:45,32.0,0:00:45,0,10.6,4,4,34,0.03,0:09:22,0.0,0.0,1,300,49.239045,16.51297,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
46,1506367390.4000003,0:00:47,32.0,0:00:47,0,10.6,4,4,34,0.03,0:09:22,0.0,0.0,1,300,49.239045,16.51297,46.200000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
47,1506367391.4000003,0:00:48,32.0,0:00:48,0,10.6,4,4,34,0.03,0:09:22,0.0,0.0,1,300,49.239045,16.51297,47.200000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
48,1506367392.4000003,0:00:49,32.0,0:00:49,0,10.6,4,4,34,0.03,0:09:22,0.0,0.0,1,300,49.239045,16.51297,48.200000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
49,1506367393.6000001,0:00:50,32.0,0:00:50,0,10.6,4,4,34,0.03,0:09:22,0.0,0.0,1,300,49.239045,16.51297,49.40000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
50,1506367394.6000001,0:00:51,32.0,0:00:51,0,10.6,4,4,34,0.03,0:09:22,0.0,0.0,1,300,49.239045,16.51297,50.40000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
51,1506367395.8000004,0:00:52,32.0,0:00:52,0,10.6,4,4,34,0.03,0:09:22,0.0,0.0,1,300,49.239055,16.512942,51.60000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
52,1506367396.8000004,0:00:53,32.0,0:00:53,0,10.6,4,4,34,0.03,0:09:22,0.0,0.0,1,300,49.239055,16.512942,52.60000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
53,1506367397.8000004,0:00:54,32.0,0:00:54,0,10.6,4,4,34,0.03,0:09:22,0.0,0.0,1,300,49.239055,16.512942,53.60000038146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,1.0,4.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,32.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
