Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),,,,,,,,,,,,,,,,
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),,,,,,,,,,,,,,,,
1,1000.5,0,03:12.6,01:36.3,5.19,00:00.0,0,34,106,9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,,,,
Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),,,,,,,,,,,,,,,,
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),,,,,,,,,,,,,,,,
1,723.8,0,02:20.5,01:31.7,5.45,00:00.0,0,34,78,9.61,,706.8,5.05,,710.5,5.43,,677.3,4.81,,,,,,,
1,732.3,0,02:22.3,01:31.7,5.45,00:00.0,0,33,79,8.43,,715.9,5,,719.1,5.54,,686.1,4.81,,,,,,,
1,743,0,02:24.1,01:34.3,5.3,00:00.0,0,34,80,10.79,,725,5.11,,729,5.47,,694.8,4.96,,,,,,,
1,752.6,0,02:25.9,01:34.5,5.29,00:00.0,0,33,81,9.59,,733.1,5.09,,738.9,5.46,,702.5,4.93,,,,,,,
1,762.1,0,02:27.7,01:35.4,5.24,00:00.0,0,34,82,9.46,,742.3,4.99,,748.6,5.46,,712.6,4.83,,,,,,,
1,771.6,0,02:29.5,01:33.8,5.33,00:00.0,0,34,83,9.51,,750.4,5.04,,758.3,5.49,,720.4,4.9,,,,,,,
1,779.8,0,02:31.3,01:33.6,5.34,00:00.0,0,32,84,8.15,,760.6,5.01,,766.8,5.54,,729,4.82,,,,,,,
1,790.8,0,02:33.1,01:36.7,5.17,00:00.0,0,33,85,11.07,,769.6,4.97,,776.3,5.46,,737.9,4.83,,,,,,,
1,800.8,0,02:34.9,01:36.7,5.17,00:00.0,0,34,86,9.93,,777.7,5.03,,785.9,5.44,,746,4.99,,,,,,,
1,810.4,0,02:36.7,01:36.8,5.16,00:00.0,0,33,87,9.59,,786.8,5.1,,795.4,5.37,,755.1,5.13,,,,,,,
1,820.1,0,02:38.5,01:35.0,5.26,00:00.0,0,34,88,9.71,,795,5.12,,803.7,5.37,,763.1,5.12,,,,,,,
1,828.7,0,02:40.3,01:34.3,5.3,00:00.0,0,33,89,8.67,,805.3,5.14,,813.3,5.36,,772.4,5.06,,,,,,,
1,839.7,0,02:42.1,01:36.1,5.2,00:00.0,0,34,90,11,,814.4,5.14,,822.8,5.34,,781.3,5.07,,,,,,,
1,849.3,0,02:43.9,01:36.3,5.19,00:00.0,0,32,91,9.53,,823.1,5.02,,831,5.34,,790.2,5.06,,,,,,,
1,858.7,0,02:45.7,01:37.4,5.13,00:00.0,0,34,92,9.43,,830.8,4.86,,841.4,5.2,,797.8,5.08,,,,,,,
1,868.2,0,02:47.5,01:36.3,5.19,00:00.0,0,32,93,9.49,,839.6,4.88,,851,5.22,,805.3,4.99,,,,,,,
1,876.4,0,02:49.3,01:35.2,5.25,00:00.0,0,34,94,8.2,,848.8,4.98,,859.4,5.32,,814.2,4.88,,,,,,,
1,887.2,0,02:51.1,01:36.8,5.16,00:00.0,0,33,95,10.81,,857.7,4.95,,869,5.36,,822.8,4.82,,,,,,,
1,896.9,0,02:52.9,01:36.1,5.2,00:00.0,0,34,96,9.71,,866.7,4.92,,877.2,5.34,,831.4,4.8,,,,,,,
1,906.5,0,02:54.7,01:35.4,5.24,00:00.0,0,34,97,9.6,,876,5.01,,887.9,5.28,,840.3,4.96,,,,,,,
1,916,0,02:56.5,01:33.8,5.33,00:00.0,0,34,98,9.47,,885,5.1,,897.4,5.32,,849,5,,,,,,,
1,924,0,02:58.3,01:33.6,5.34,00:00.0,0,33,99,8.08,,892.9,5.03,,906.8,5.32,,856.9,4.93,,,,,,,
1,934.8,0,03:00.1,01:35.9,5.21,00:00.0,0,34,100,10.72,,901.8,4.96,,916,5.3,,864.9,5.01,,,,,,,
1,944.2,0,03:01.9,01:35.6,5.23,00:00.0,0,32,101,9.46,,910.7,4.93,,924,5.28,,874.8,5,,,,,,,
1,953.6,0,03:03.7,01:35.9,5.21,00:00.0,0,33,102,9.42,,919.1,4.89,,934.6,5.21,,882.8,4.98,,,,,,,
1,963,0,03:05.5,01:34.5,5.29,00:00.0,0,34,103,9.4,,927.8,4.77,,944,5.24,,892,5.03,,,,,,,
1,971.2,0,03:07.3,01:33.4,5.35,00:00.0,0,32,104,8.16,,936.9,4.85,,953.3,5.19,,900.9,5.11,,,,,,,
1,981.9,0,03:09.1,01:35.7,5.22,00:00.0,0,34,105,10.65,,943.5,5,,961.6,5.22,,908.8,5.08,,,,,,,
1,991.2,0,03:10.9,01:36.1,5.2,00:00.0,0,33,106,9.37,,953.4,4.96,,971.1,5.31,,917.6,4.96,,,,,,,
,,,,,,,,,,,,962.3,4.89,,980.8,5.37,,925.5,5.02,,,,,,,
,,,,,,,,,,,,970.6,4.82,,990.3,5.4,,934.5,5.01,,,,,,,
,,,,,,,,,,,,979.6,4.81,,999.6,5.27,,943.8,5.08,,,,,,,
,,,,,,,,,,,,987.4,4.96,,,,,952.5,5.13,,,,,,,
,,,,,,,,,,,,997.2,4.94,,,,,960.2,5.13,,,,,,,
,,,,,,,,,,,,,,,,,,967.6,5.08,,,,,,,
,,,,,,,,,,,,,,,,,,977.8,4.95,,,,,,,
,,,,,,,,,,,,,,,,,,985.7,4.96,,,,,,,
,,,,,,,,,,,,,,,,,,994.4,4.92,,,,,,,
