Interval,Elapsed Time,Total Distance,Avg Split,Avg Speed,Avg Stroke Rate,Avg Heart Rate,Total Strokes,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force,Avg Force Max,Avg Force Max Angle,Avg Work,Avg Power,,,,,,,,,,,,,,,,,,,,,,,,
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Newtons),(Degrees),(Watts),(Joules),,,,,,,,,,,,,,,,,,,,,,,,
1,02:28.4,619.1,01:59.0,4.2,29,161,73,-62,3,38,18,161.2,308.1,32,290.4,140.3,,79,290.4,,79,79,77,77,77,,290.4,260.8,285.6,271.5,259.6,,4.2,4,4.04,3.93,3.99,,,
1,02:30.4,627.5,01:58.7,4.21,30,161,74,-63,4,40,20,153.9,299.7,34,280.9,137.7,,79,280.9,,79,75,79,77,77,,280.9,258.3,281.6,303.5,303.5,,4.21,3.96,3.98,3.92,4,,,
1,02:32.6,636.6,01:59.6,4.18,29,161,75,-63,5,38,17,158.1,296.7,30,281.4,137.9,,79,281.4,,79,80,77,75,70,,281.4,284,303.5,280.7,236.3,,4.18,3.89,4.03,3.99,3.94,,,
1,02:34.6,644.9,02:00.1,4.16,30,161,76,-62,2,36,18,154.4,294.4,28,270.3,132.5,,78,270.3,,78,79,75,78,76,,270.3,277.8,267.3,276.3,266,,4.16,3.92,3.96,3.96,3.91,,,
1,02:36.9,654.2,02:01.0,4.13,29,161,77,-63,2,39,23,152,300,31,275.1,132.9,,77,275.1,,77,76,76,78,77,,275.1,275,272.7,278.8,281.7,,4.13,3.98,3.99,3.92,3.99,,,
1,02:38.8,662.4,01:59.0,4.2,29,162,78,-63,4,37,18,147.1,281.7,37,264,127.5,,78,264,,78,78,82,70,78,,264,287.1,284.6,245.4,285.4,,4.2,3.97,3.91,3.91,3.98,,,
1,02:40.8,670.8,01:59.0,4.2,29,162,79,-62,5,39,18,143.3,288.4,31,266.7,127,,78,266.7,,78,75,77,75,77,,266.7,263,264.8,275.2,289.1,,4.2,3.94,3.99,3.84,3.94,,,
1,02:42.8,679.2,02:02.2,4.09,29,162,80,-63,2,37,17,157.2,301.2,34,283.8,139.1,,81,283.8,,81,79,83,71,68,,283.8,285.9,281.4,262.9,234.9,,4.09,3.89,3.96,3.91,4,,,
1,02:44.8,687.4,02:01.3,4.12,30,162,81,-62,3,33,19,151.8,304.9,32,256.3,129.4,,73,256.3,,73,81,74,74,76,,256.3,292,258.9,253.8,279.6,,4.12,4.03,3.94,3.92,4.02,,,
1,02:46.8,695.8,01:58.4,4.22,30,162,82,-63,4,39,18,161.2,314.1,34,295.2,144.7,,80,295.2,,80,77,76,71,78,,295.2,303.5,281.8,251.6,287.3,,4.22,4.06,3.93,3.91,4,,,
