Total elapsed time,Total distance,Stroke rate (/min),Speed (m/s),Current heart rate (bpm),Interval type,Workout state,Rowing state,Stroke count,Stroke state,Total work distance,Piece duration,Piece distance,Drag factor,Current pace (/500m),Average pace (/500m),Rest distance,Rest time,Interval count,Total average power (W),Total average calories (cal),Split average pace (/500m),Split average power (W),Split average calories (cal/hr),Last split time,Last split distance
1:17.5,241 m,17,3.2,117,Time,Running,Active,23,Recovery,0 m,0:00.0,0 m,105,2:37.1,2:40.8,0 m,0:00,1,84,12,2:40.8,84,12,0:00.0,0 m
1:18.5,244 m,17,3.2,118,Time,Running,Active,23,Driving,0 m,0:00.0,0 m,105,2:37.1,2:40.8,0 m,0:00,1,84,12,2:40.8,84,12,0:00.0,0 m
1:19.5,247 m,17,3.2,118,Time,Running,Active,24,Recovery,0 m,0:00.0,0 m,105,2:37.1,2:40.8,0 m,0:00,1,84,12,2:40.8,84,12,0:00.0,0 m
1:20.5,251 m,17,3.2,117,Time,Running,Active,24,Recovery,0 m,0:00.0,0 m,105,2:37.1,2:40.6,0 m,0:00,1,85,13,2:40.6,85,13,0:00.0,0 m
1:21.5,254 m,17,3.2,117,Time,Running,Active,24,Recovery,0 m,0:00.0,0 m,105,2:37.1,2:40.6,0 m,0:00,1,85,13,2:40.6,85,13,0:00.0,0 m
1:22.6,257 m,17,3.2,117,Time,Running,Active,24,Driving,0 m,0:00.0,0 m,105,2:37.1,2:40.6,0 m,0:00,1,85,13,2:40.6,85,13,0:00.0,0 m
1:23.5,260 m,17,3.2,120,Time,Running,Active,25,Recovery,0 m,0:00.0,0 m,105,2:37.1,2:40.6,0 m,0:00,1,85,13,2:40.6,85,13,0:00.0,0 m
1:24.6,264 m,17,3.2,120,Time,Running,Active,25,Recovery,0 m,0:00.0,0 m,105,2:35.9,2:40.4,0 m,0:00,1,85,13,2:40.4,85,13,0:00.0,0 m
1:25.6,267 m,17,3.2,120,Time,Running,Active,25,Driving,0 m,0:00.0,0 m,105,2:35.9,2:40.4,0 m,0:00,1,85,13,2:40.4,85,13,0:00.0,0 m
1:26.6,270 m,17,3.2,120,Time,Running,Active,26,Recovery,0 m,0:00.0,0 m,105,2:35.9,2:40.4,0 m,0:00,1,85,13,2:40.4,85,13,0:00.0,0 m
