Stroke (#),Second (#),Distance (m),Work (J),Actual power (W),Average power (W),Actual split (s),Average split (s),Stroke rate (SPM),Heart rate (bpm)
313,1000,2949,272.7,90,89.9,157,157,20.0,121
314,1003,2958,281.2,98,89.9,152,157,21.5,121
315,1006,2968,267.8,97,90.0,153,157,20.7,121
316,1009,2977,250.3,91,90.0,156,157,20.4,121
317,1012,2987,268.8,85,90.0,160,157,20.4,121
318,1014,2994,259.1,92,90.0,156,157,20.4,122
319,1017,3003,256.3,91,90.0,156,157,20.9,122
320,1020,3013,272.5,90,90.0,157,157,20.9,122
321,1023,3022,274.1,92,90.0,156,157,20.2,122
322,1026,3032,265.2,93,90.0,155,157,20.4,123
323,1029,3041,270.5,89,90.0,157,157,20.1,123
324,1032,3051,277.4,94,90.0,154,157,20.8,123
325,1035,3061,263.2,95,90.0,154,157,20.4,123
326,1038,3070,266.6,89,90.0,157,157,20.3,123
327,1041,3080,277.5,90,90.0,157,157,20.3,123
328,1044,3089,279.3,96,90.0,153,157,20.8,123
329,1046,3099,279.2,95,90.0,154,157,20.3,122
330,1050,3109,266.4,94,90.1,154,157,20.2,122
331,1053,3118,277.0,92,90.1,156,157,20.6,122
332,1055,3125,270.9,95,90.1,154,157,20.6,123
333,1058,3135,273.1,93,90.1,155,157,20.6,123
334,1061,3145,285.9,94,90.1,154,157,20.5,123
335,1064,3154,268.5,98,90.1,152,157,20.5,123
336,1067,3164,254.3,93,90.1,155,157,20.6,123
337,1070,3173,256.8,89,90.1,157,157,20.9,123
338,1073,3183,265.4,89,90.1,157,157,20.8,123
339,1076,3192,262.5,92,90.1,156,157,20.6,123
340,1079,3201,263.8,90,90.1,157,157,20.5,123
341,1082,3211,281.2,90,90.1,157,157,20.4,123
342,1085,3221,284.3,96,90.2,153,157,20.4,123
343,1088,3231,267.2,97,90.1,153,157,20.5,123
344,1091,3240,261.1,90,90.1,157,157,20.2,124
345,1094,3250,267.5,86,90.1,159,157,19.7,124
346,1096,3257,297.3,91,90.1,156,157,20.4,124
347,1099,3267,291.7,101,90.2,151,157,20.4,124
348,1102,3276,277.0,99,90.2,152,157,20.4,123
349,1105,3286,281.8,95,90.2,154,157,20.5,123
350,1108,3296,276.3,97,90.2,153,157,20.6,123
351,1111,3305,280.3,95,90.3,154,157,20.5,124
352,1114,3315,285.5,98,90.3,152,157,20.9,124
353,1117,3325,262.0,97,90.3,153,157,20.3,124
354,1120,3334,268.8,89,90.3,157,157,20.4,124
355,1123,3344,270.8,91,90.3,156,157,20.2,125
356,1126,3353,255.9,92,90.3,156,157,20.3,124
