index,index,TimeStamp (sec), Horizontal (meters), Cadence (stokes/min), HRCur (bpm), Stroke500mPace (sec/500m), Power (watts), StrokeDistance (meters), DriveTime (ms), StrokeRecoveryTime (ms), AverageDriveForce (lbs), PeakDriveForce (lbs), lapIdx, ElapsedTime (sec), latitude, longitude,GPS Speed,catch,slip,finish,wash,driveenergy,peakforceangle, DriveLength (meters), DragFactor, AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), WorkoutState, Stroke Number,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
30,209,1617102862.21,243.2,18.0,127.0,144.092,119.0,11.4,1270.0,1990.0,46.17577368025862,92.35154736051724,622,77.21099996566772,52.2273367,6.8448442,3.47,-61.0,9.0,44.0,17.0,396.6666666666667,-20.0,0.0,0.0,3.4700052744080168,205.4,410.8,1.0,4.0,24,127.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,243.2,119.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
31,210,1617102865.464,254.81,18.5,128.0,143.266,101.1,11.6,1290.0,2010.0,40.6454716718148,79.38006663339493,622,80.46499991416931,52.2274396,6.8448718,3.49,-61.0,8.0,44.0,17.0,327.8918918918919,-32.0,0.0,0.0,3.4900115868384685,180.80000000000004,353.1,1.0,4.0,25,128.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,254.81,101.1,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
32,211,1617102868.671,265.75,19.0,130.0,144.927,86.2,10.9,1260.0,1860.0,35.317497785631105,72.9730094284905,622,83.67199993133545,52.2275356,6.8449059,3.45,-60.0,9.0,40.0,24.0,272.2105263157895,-19.0,0.0,0.0,3.450012765047231,157.1,324.6,1.0,4.0,26,130.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,265.75,86.2,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
33,212,1617102871.886,276.16,19.5,131.0,147.928,95.5,10.4,1280.0,1850.0,36.82371825134548,77.60407533800037,622,86.88699984550476,52.2276248,6.8449517,3.38,-60.0,10.0,43.0,19.0,293.84615384615387,-18.0,0.0,0.0,3.3800227137526364,163.8,345.2,1.0,4.0,27,131.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,276.16,95.5,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
34,1555,1617102875.0,286.16,19.5,132.0,147.928,3.6,10.0,510.0,100.0,1.1465260261407932,4.7209895194032665,622,90.00099992752075,52.2277076,6.8450086,3.38,13.0,11.0,33.0,17.0,11.076923076923077,15.0,0.0,0.0,3.3800227137526364,5.1,21.0,1.0,4.0,28,132.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,286.16,3.6,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
35,213,1617102875.07,286.68,18.5,132.0,150.15,100.6,0.5,1260.0,1880.0,40.06096820750772,78.66067775424776,622,90.07099986076355,52.2277121,6.8450109,3.33,-60.0,8.0,42.0,18.0,326.27027027027026,-12.0,0.0,0.0,3.33000333000333,178.2,349.9,1.0,4.0,29,132.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,286.68,100.6,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
36,214,1617102878.085,296.79,19.0,133.0,150.602,103.5,10.1,1220.0,1920.0,42.4889056746294,79.1327767061881,622,93.08599996566772,52.2277941,6.8450747,3.32,-60.0,7.0,44.0,19.0,326.8421052631579,-23.0,0.0,0.0,3.3200090304245626,189.0,352.0,1.0,4.0,29,133.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,296.79,103.5,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
37,1594,1617102879.222,300.75,19.0,133.0,150.602,3.6,4.0,510.0,100.0,1.1465260261407932,4.7209895194032665,622,94.22299981117249,52.2278258,6.8451012,3.32,13.0,11.0,33.0,17.0,11.368421052631579,15.0,0.0,0.0,3.3200090304245626,5.1,21.0,1.0,4.0,30,133.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,300.75,3.6,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
38,215,1617102881.269,307.43,19.0,133.0,151.057,95.0,6.7,1290.0,1930.0,38.329938717059854,85.58479571603922,622,96.26999998092651,52.2278773,6.8451517,3.31,-61.0,9.0,45.0,27.0,300.0,-23.0,0.0,0.0,3.3100088046234206,170.49999999999997,380.7,1.0,4.0,30,133.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,307.43,95.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
39,216,1617102884.484,318.11,18.5,132.0,150.15,89.5,10.7,1290.0,1880.0,37.02604637360562,77.80640346026051,622,99.48499989509584,52.2279563,6.8452406,3.33,-60.0,9.0,43.0,27.0,290.27027027027026,-26.0,0.0,0.0,3.33000333000333,164.7,346.1,1.0,4.0,31,132.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,318.11,89.5,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
