index,Stroke #,TimeStamp (sec), Horizontal (meters), Stroke500mPace (sec/500m), Power (watts), Cadence (stokes/min), DragFactor, DriveLength (meters), HRCur (bpm),Work (J), PeakDriveForce (lbs), AverageDriveForce (lbs), DriveTime (ms), StrokeRecoveryTime (ms), StrokeDistance (meters), ElapsedTime (sec), AverageBoatSpeed (m/s), AverageDriveForce (N), PeakDriveForce (N), lapIdx, Calories (kCal), WorkoutState,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
41,42,1619444387.9,437.2,135.6,140.3,19.0,107.0,1.39,105.0,436.9,119.39607303595596,78.50331143693433,790.0,2100.0,11.4,135.9,3.6873156342182893,349.2,531.1,0,1.0,4.0,443.05263157894734,105.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,437.2,0.0,140.3,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
42,43,1619444391.0,448.7,135.2,141.5,19.0,107.0,1.42,106.0,442.2,126.79228994968774,80.99869161147605,800.0,2080.0,11.5,139.0,3.6982248520710064,360.3,564.0,0,1.0,4.0,446.8421052631579,106.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,448.7,0.0,141.5,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
43,44,1619444396.2,468.0,134.4,144.2,20.0,107.0,1.39,106.0,444.8,121.50927786845075,78.00873158252065,780.0,2050.0,11.4,144.2,3.720238095238095,347.0,540.5,0,1.0,4.0,432.6,106.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,468.0,0.0,144.2,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
44,45,1619444397.0,471.4,134.7,143.1,20.0,106.0,1.39,107.0,437.0,125.69072572849365,82.01033222277675,780.0,2130.0,11.2,145.0,3.711952487008167,364.8,559.1,0,1.0,4.0,429.3,107.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,471.4,0.0,143.1,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
45,46,1619444400.1,482.9,134.4,144.2,19.0,107.0,1.39,108.0,453.0,122.29610945501796,78.30098331467418,780.0,2050.0,11.6,148.1,3.720238095238095,348.3,544.0,0,1.0,4.0,455.36842105263156,108.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,482.9,0.0,144.2,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
46,47,1619444403.1,494.2,134.7,143.3,20.0,107.0,1.39,108.0,437.8,132.0078593235047,85.69720022840596,770.0,2070.0,11.3,151.1,3.711952487008167,381.2,587.2,0,1.0,4.0,429.9,108.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,494.2,0.0,143.3,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
47,48,1619444406.2,505.7,132.4,150.8,20.0,106.0,1.42,109.0,464.0,126.70236633979435,81.89792771041,780.0,2110.0,11.5,154.2,3.7764350453172204,364.3,563.6,0,1.0,4.0,452.4,109.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,505.7,0.0,150.8,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
48,49,1619444409.3,517.3,132.7,149.7,20.0,107.0,1.39,109.0,465.0,125.10622226418657,81.69559958814986,770.0,2130.0,11.6,157.3,3.7678975131876418,363.4,556.5,0,1.0,4.0,449.1,109.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,517.3,0.0,149.7,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
49,50,1619444412.3,528.9,133.8,146.2,19.0,107.0,1.39,109.0,457.1,127.19694619420801,82.19017944256355,770.0,2090.0,11.6,160.3,3.736920777279521,365.6,565.8,0,1.0,4.0,461.6842105263158,109.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,528.9,0.0,146.2,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
50,51,1619444415.4,540.5,133.6,146.7,20.0,107.0,1.42,109.0,455.8,126.90469446205448,81.60567597825647,790.0,2130.0,11.5,163.4,3.7425149700598803,363.0,564.5,0,1.0,4.0,440.1,109.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,540.5,0.0,146.7,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
