index,index,TimeStamp (sec),DistanceMeters, Cadence (stokes/min), lapIdx, WorkoutState, Horizontal (meters), Stroke500mPace (sec/500m), ElapsedTime (sec), HRCur (bpm), Power (watts), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), Calories (kCal), Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
35,35,1606255098.278,7.7,23.0,1.0,4.0,7.7,inf,179.37800002098083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,42.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
36,36,1606255100.552,8.7,24.0,1.0,4.0,8.7,inf,181.65199995040894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,43.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
37,37,1606255103.814,6.3,23.0,1.0,4.0,6.3,inf,184.9139997959137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,40.8,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
38,38,1606255106.278,7.8,25.0,1.0,4.0,7.8,inf,187.37800002098083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,42.3,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
39,39,1606255108.308,9.3,24.0,1.0,4.0,9.3,inf,189.4079999923706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,43.8,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
40,40,1606255111.5879998,8.2,23.0,1.0,4.0,8.2,inf,192.6879997253418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,42.699999999999996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
41,41,1606255114.27,6.5,24.0,1.0,4.0,6.5,inf,195.36999988555908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,41.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
42,42,1606255116.328,6.4,25.0,1.0,4.0,6.4,inf,197.42799997329712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,40.9,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
43,43,1606255119.2080002,8.7,24.0,1.0,4.0,8.7,inf,200.30800008773804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,43.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
44,44,1606255121.658,8.4,25.0,1.0,4.0,8.4,inf,202.75799989700317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142,146,160,167,180,192,42.9,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
