index,Interval,Type, Horizontal (meters),Time,Stroke, Cadence (stokes/min),Speed(m/s),Split,TimeStamp (sec), Stroke500mPace (sec/500m), HRCur (bpm), ElapsedTime (sec), Power (watts), DriveLength (meters), StrokeDistance (meters), DriveTime (ms), DragFactor, StrokeRecoveryTime (ms), AverageDriveForce (lbs), AverageBoatSpeed (m/s), PeakDriveForce (lbs), AverageDriveForce (N), PeakDriveForce (N), lapIdx, Calories (kCal), WorkoutState, Stroke Number,driveenergy,hr_ut2,hr_ut1,hr_at,hr_tr,hr_an,hr_max,lim_ut2,lim_ut1,lim_at,lim_tr,lim_an,lim_max,cum_dist,pw_ut2,pw_ut1,pw_at,pw_tr,pw_an,pw_max,limpw_ut2,limpw_ut1,limpw_at,limpw_tr,limpw_an
37,38,D,760.0,0:04:43.5,102,25.5,3.24,2:34.3,1712903100.7616608,154.3,169.0,266.59999990463257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.240440699935191,0.0,0.0,0.0,0,1.0,4.0,110,0.0,0.0,0.0,0.0,0.0,169.0,0.0,142,146,160,167,180,192,760.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
38,39,D,780.0,0:04:49.3,104,25.4,3.497,2:23.0,1712903106.4616609,143.0,169.0,272.2999999523163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4965034965034967,0.0,0.0,0.0,0,1.0,4.0,112,0.0,0.0,0.0,0.0,0.0,169.0,0.0,142,146,160,167,180,192,780.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
39,40,D,800.0,0:04:55.1,107,26.3,3.422,2:26.1,1712903112.361661,146.1,169.0,278.2000000476837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4223134839151266,0.0,0.0,0.0,0,1.0,4.0,115,0.0,0.0,0.0,0.0,0.0,169.0,0.0,142,146,160,167,180,192,800.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
40,41,D,820.0,0:05:00.8,109,26.4,3.488,2:23.4,1712903118.061661,143.4,169.0,283.90000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.486750348675035,0.0,0.0,0.0,0,1.0,4.0,117,0.0,0.0,0.0,0.0,0.0,169.0,0.0,142,146,160,167,180,192,820.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
41,42,D,840.0,0:05:06.9,112,26.8,3.307,2:31.2,1712903124.061661,151.2,169.0,289.90000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.306878306878307,0.0,0.0,0.0,0,1.0,4.0,120,0.0,0.0,0.0,0.0,0.0,169.0,0.0,142,146,160,167,180,192,840.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
42,43,D,860.0,0:05:12.6,115,26.5,3.497,2:23.0,1712903129.861661,143.0,170.0,295.7000000476837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4965034965034967,0.0,0.0,0.0,0,1.0,4.0,123,0.0,0.0,0.0,0.0,0.0,170.0,0.0,142,146,160,167,180,192,860.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
43,44,D,880.0,0:05:18.6,117,27.3,3.333,2:30.0,1712903135.861661,150.0,170.0,301.7000000476837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0,1.0,4.0,125,0.0,0.0,0.0,0.0,0.0,170.0,0.0,142,146,160,167,180,192,880.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
44,45,D,900.0,0:05:24.5,120,27.3,3.414,2:26.5,1712903141.661661,146.5,170.0,307.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4129692832764507,0.0,0.0,0.0,0,1.0,4.0,128,0.0,0.0,0.0,0.0,0.0,170.0,0.0,142,146,160,167,180,192,900.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
45,46,D,920.0,0:05:30.1,123,27.2,3.556,2:20.6,1712903147.2616608,140.6,170.0,313.09999990463257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5561877667140824,0.0,0.0,0.0,0,1.0,4.0,130,0.0,0.0,0.0,0.0,0.0,170.0,0.0,142,146,160,167,180,192,920.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
46,47,D,940.0,0:05:35.9,125,26.6,3.469,2:24.2,1712903153.061661,144.2,170.0,318.90000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4674063800277395,0.0,0.0,0.0,0,1.0,4.0,133,0.0,0.0,0.0,0.0,0.0,170.0,0.0,142,146,160,167,180,192,940.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
47,48,D,960.0,0:05:41.4,128,26.7,3.616,2:18.3,1712903158.561661,138.3,170.0,324.40000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.615328994938539,0.0,0.0,0.0,0,1.0,4.0,135,0.0,0.0,0.0,0.0,0.0,170.0,0.0,142,146,160,167,180,192,960.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
48,49,D,980.0,0:05:47.0,130,27.1,3.575,2:19.9,1712903164.161661,139.9,170.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5739814152966405,0.0,0.0,0.0,0,1.0,4.0,138,0.0,0.0,0.0,0.0,0.0,170.0,0.0,142,146,160,167,180,192,980.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
49,50,D,1000.0,0:05:52.5,133,26.7,3.657,2:16.7,1712903169.661661,136.7,170.0,335.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65764447695684,0.0,0.0,0.0,0,1.0,4.0,140,0.0,0.0,0.0,0.0,0.0,170.0,0.0,142,146,160,167,180,192,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
50,51,D,1020.0,0:05:58.1,135,27.5,3.516,2:22.2,1712903175.361661,142.2,170.0,341.2000000476837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.516174402250352,0.0,0.0,0.0,0,1.0,4.0,143,0.0,0.0,0.0,0.0,0.0,170.0,0.0,142,146,160,167,180,192,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
51,52,D,1040.0,0:06:03.9,138,27.8,3.488,2:23.4,1712903181.061661,143.4,171.0,346.90000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.486750348675035,0.0,0.0,0.0,0,1.0,4.0,146,0.0,0.0,0.0,0.0,0.0,171.0,0.0,142,146,160,167,180,192,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
52,53,D,1060.0,0:06:09.3,140,27.2,3.689,2:15.6,1712903186.4616609,135.6,171.0,352.2999999523163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6873156342182893,0.0,0.0,0.0,0,1.0,4.0,148,0.0,0.0,0.0,0.0,0.0,171.0,0.0,142,146,160,167,180,192,1060.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
53,54,D,1080.0,0:06:14.8,143,27.3,3.616,2:18.3,1712903192.061661,138.3,171.0,357.90000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.615328994938539,0.0,0.0,0.0,0,1.0,4.0,151,0.0,0.0,0.0,0.0,0.0,171.0,0.0,142,146,160,167,180,192,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
54,55,D,1100.0,0:06:20.3,145,27.7,3.657,2:16.7,1712903197.4616609,136.7,172.0,363.2999999523163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65764447695684,0.0,0.0,0.0,0,1.0,4.0,153,0.0,0.0,0.0,0.0,0.0,172.0,0.0,142,146,160,167,180,192,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
55,56,D,1120.0,0:06:26.1,148,26.8,3.45,2:24.9,1712903203.2616608,144.9,172.0,369.09999990463257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4506556245686677,0.0,0.0,0.0,0,1.0,4.0,156,0.0,0.0,0.0,0.0,0.0,172.0,0.0,142,146,160,167,180,192,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
56,57,D,1140.0,0:06:31.6,150,26.9,3.606,2:18.7,1712903208.861661,138.7,172.0,374.7000000476837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6049026676279743,0.0,0.0,0.0,0,1.0,4.0,158,0.0,0.0,0.0,0.0,0.0,172.0,0.0,142,146,160,167,180,192,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
57,58,D,1160.0,0:06:37.3,153,27.0,3.526,2:21.8,1712903214.561661,141.8,172.0,380.40000009536743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5260930888575457,0.0,0.0,0.0,0,1.0,4.0,161,0.0,0.0,0.0,0.0,0.0,172.0,0.0,142,146,160,167,180,192,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
58,59,D,1180.0,0:06:42.7,155,26.9,3.721,2:14.4,1712903219.861661,134.4,172.0,385.7000000476837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.720238095238095,0.0,0.0,0.0,0,1.0,4.0,163,0.0,0.0,0.0,0.0,0.0,172.0,0.0,142,146,160,167,180,192,1180.0,0.0,0.0,0.0,0.0,0.0,0.0,124.30000000000001,169.5,203.4,237.3,271.2
